Gene ID,Niche,Effect Size Posterior Median (95% CI) ,Odds Ratio Posterior Median (95% CI)Ê,Probability Posterior Median (95% CI)Ê
NZ_CP053772.1_89,wastewater,"-0.789351 [-1.59924,Ê -0.16811]","0.45414 [0.20205,Ê 0.845261]","0.0191112 [0.00878487,Ê 0.0345582]"
AP019386.1_109,food,"-0.801282 [-2.16885,Ê 0.0432693]","0.448753 [0.114309,Ê 1.04422]","0.0106295 [0.00278526,Ê 0.0247497]"
AP019386.1_109,environmental,"-1.03651 [-2.14583,Ê -0.271487]","0.354691 [0.116971, 0.762245]","0.00839173 [0.0028519,Ê 0.0176266]"
AP019386.1_110,livestock,"-1.12224 [-2.39163,Ê -0.167979]","0.325548 [0.0914805,Ê 0.845372]","0.00461838 [0.00136309,Ê 0.0112248]Ê"
NZ_CP146544.1_32,wastewater,"-1.14252 [-2.39894,Ê -0.314158]","0.319015 [0.0908138,Ê 0.730404]","0.00819431 [0.00238313,Ê 0.01843]"
AP019386.1_109,wastewater,"-1.25754 [-2.55859,Ê -0.37328]","0.284352 [0.0774134,Ê 0.688472]","0.00673838 [0.00187158,Ê 0.0162202]"
NZ_CP053772.1_89,livestock,"-1.48314 [-2.36767,Ê -0.765117]","0.226924 [0.093699,Ê 0.465279]","0.00966975 [0.00414049,Ê 0.0188627]"
AP018569.2_107,livestock,"-1.50871 [-2.32652,Ê -0.832445]","0.221195 [0.0976348,Ê 0.434984]","0.0118389 [0.00538524,Ê 0.0221042]"
NZ_CP146544.1_32,livestock,"-1.91996 [-3.45143,Ê -0.876938]","0.146613 [0.0317002,Ê 0.416055]","0.00380098 [0.00085525,Ê 0.0101943]"
AP019386.1_109,livestock,"-2.27473 [-3.99459,Ê -1.11025]","0.102825 [0.018415,Ê 0.329475]","0.00245692 [0.0004613,Ê 0.007461]"
