Gene ID,Niche,Effect Size Posterior Median (95% CI) ,Odds Ratio Posterior Median (95% CI)Ê,Probability Posterior Median (95% CI)Ê
AP026508.1_104,wildlife,"-0.0728959 [-0.715198,Ê 0.479147]","0.929698 [0.489095,Ê 1.6147]","0.0178351 [0.00950936,Ê 0.0300219]"
AP019386.1_110,Bacteria,"-0.0768359 [-1.35265,Ê 0.797558]","0.926042 [0.258555,Ê 2.22011]","0.0129847 [0.00364696,Ê 0.0311126]"
CP034325.1_175,wastewater,"-0.0780476 [-0.613863,Ê 0.424992]","0.92492 [0.541256,Ê 1.52958]","0.0364184 [0.0218834,Ê 0.0575159]"
NZ_CP019353.1_215,wastewater,"-0.0805131 [-0.510946,Ê 0.305345]","0.922643 [0.599928,Ê 1.35709]","0.0835422 [0.0569543,Ê 0.115886]"
NZ_CP019353.1_215,domesticatedanimal,"-0.0885468 [-0.843186,Ê 0.479618]","0.91526 [0.430337,Ê 1.61546]","0.0826368 [0.0407118,Ê 0.137439]"
NZ_CP139811.1_48,food,"-0.0919938 [-0.651175,Ê 0.367233]","0.912111 [0.521433,Ê 1.44373]","0.058452 [0.0347093,Ê 0.0893854]"
NC_010870.1_119,domesticatedanimal,"-0.0933627 [-0.827021,Ê 0.456074]","0.910863 [0.43735,Ê 1.57787]","0.0946507 [0.0477736,Ê 0.154097]"
AP019386.1_110,wildlife,"-0.0950837 [-0.746842,Ê 0.562409]","0.909297 [0.473861,Ê 1.7549]","0.0128545 [0.00659162,Ê 0.023902]"
AM261282.1_29,domesticatedanimal,"-0.0957206 [-1.11224,Ê 0.557893]","0.908718 [0.328821,Ê 1.74699]","0.0254147 [0.00924604,Ê 0.049206]"
NZ_CP053772.1_89,Bacteria,"-0.0998424 [-1.23949,Ê 0.643875]","0.90498 [0.289531,Ê 1.90384]","0.0372885 [0.012491,Ê 0.0766625]"
NZ_CP146544.1_32,domesticatedanimal,"-0.100007 [-1.47431,Ê 0.667989]","0.904831 [0.228937,Ê 1.95031]","0.022676 [0.00592254,Ê 0.0487529]"
NZ_CP142966.1_27,Bacteria,"-0.104492 [-1.3046,Ê 0.622469]","0.900782 [0.271281,Ê 1.86352]","0.0201458 [0.00621644,Ê 0.0414643]"
NZ_AP027706.1_49,domesticatedanimal,"-0.113472 [-1.09647,Ê 0.532952]","0.892729 [0.334048,Ê 1.70396]","0.0311357 [0.0117384,Ê 0.0589101]"
NZ_CP142966.1_27,environmental,"-0.118201 [-0.746319,Ê 0.433997]","0.888518 [0.474109,Ê 1.54341]","0.0200642 [0.0110126,Ê 0.0333317]"
NZ_CP142966.1_27,wastewater,"-0.141478 [-0.821793,Ê 0.442866]","0.868074 [0.439643,Ê 1.55716]","0.0195953 [0.0101356,Ê 0.0340091]"
NZ_CP049291.1_137,domesticatedanimal,"-0.141544 [-1.01878,Ê 0.413964]","0.868017 [0.361037,Ê 1.5128]","0.0706207 [0.0304987,Ê 0.117749]"
OV141395.1_159,domesticatedanimal,"-0.147829 [-1.13197,Ê 0.439101]","0.862578 [0.322398,Ê 1.55131]","0.0413764 [0.0158787,Ê 0.0729937]"
NZ_OP290545.1_1,Bacteria,"-0.148439 [-1.19958,Ê 0.457145]","0.862053 [0.301322,Ê 1.57956]","0.0601961 [0.0221755,Ê 0.106802]"
NZ_MN732922.1_254,domesticatedanimal,"-0.151493 [-1.45721,Ê 0.586288]","0.859424 [0.232886,Ê 1.7973]","0.012294 [0.00331858,Ê 0.026464]"
NZ_OP290545.1_1,wastewater,"-0.152063 [-0.635896,Ê 0.273565]","0.858934 [0.529461,Ê 1.31464]","0.0601923 [0.0387484,Ê 0.0880121]"
CP034325.1_174,Bacteria,"-0.153488 [-1.39121,Ê 0.488055]","0.857711 [0.248774,Ê 1.62914]","0.0300349 [0.00904471,Ê 0.0568681]"
CP034325.1_175,Bacteria,"-0.155554 [-1.38821,Ê 0.475459]","0.855941 [0.249522,Ê 1.60875]","0.0334907 [0.0101859,Ê 0.0626478]"
CP034325.1_174,domesticatedanimal,"-0.155682 [-1.24373,Ê 0.444365]","0.855832 [0.288308,Ê 1.5595]","0.0299542 [0.0102869,Ê 0.0550271]"
CP034325.1_174,wastewater,"-0.165871 [-0.746184,Ê 0.343971]","0.847155 [0.474173,Ê 1.41054]","0.0299157 [0.0172702,Ê 0.0481758]"
CP034325.1_175,domesticatedanimal,"-0.168206 [-1.24367,Ê 0.41571]","0.84518 [0.288323,Ê 1.51545]","0.0329926 [0.0115549,Ê 0.059808]"
NZ_CP142966.1_27,wildlife,"-0.174437 [-0.839191,Ê 0.348232]","0.839929 [0.43206,Ê 1.41656]","0.0189095 [0.00989448,Ê 0.0313959]"
NZ_CP019353.1_215,Bacteria,"-0.178931 [-1.27582,Ê 0.4074]","0.836164 [0.279203,Ê 1.5029]","0.075814 [0.0273649,Ê 0.130497]"
NZ_CP146544.1_32,Bacteria,"-0.18123 [-1.80336,Ê 0.592524]","0.834244 [0.164745,Ê 1.80855]","0.020851 [0.00422703,Ê 0.0459051]"
NZ_OP290545.1_1,wildlife,"-0.184526 [-0.646228,Ê 0.198525]","0.831498 [0.524019,Ê 1.2196]","0.0583825 [0.0384594,Ê 0.0823871]"
AM261282.1_29,wildlife,"-0.185669 [-0.828717,Ê 0.291317]","0.830548 [0.436609,Ê 1.33819]","0.0233961 [0.0126081,Ê 0.036907]"
AP018569.2_107,wildlife,"-0.188174 [-0.70661,Ê 0.256675]","0.828471 [0.493314,Ê 1.29263]","0.0426888 [0.0264624,Ê 0.0642932]"
AP026508.1_104,domesticatedanimal,"-0.18913 [-1.52676,Ê 0.494864]","0.827679 [0.217238,Ê 1.64028]","0.0157428 [0.00406375,Ê 0.032278]"
NZ_CP142966.1_27,domesticatedanimal,"-0.193642 [-1.53007,Ê 0.454945]","0.823953 [0.216521,Ê 1.57609]","0.0183906 [0.00492863,Ê 0.0362438]"
CP034325.1_175,environmental,"-0.196169 [-0.733035,Ê 0.264937]","0.821873 [0.480449,Ê 1.30335]","0.0324283 [0.0196783,Ê 0.0493634]"
CP057748.1_80,domesticatedanimal,"-0.200256 [-1.1568,Ê 0.329833]","0.818521 [0.314492,Ê 1.39074]","0.0713356 [0.0289132,Ê 0.11698]"
NZ_CP019353.1_215,wildlife,"-0.207354 [-0.650364,Ê 0.157719]","0.812732 [0.521856,Ê 1.17084]","0.0741952 [0.0497501,Ê 0.102374]"
NZ_MZ513634.1_46,food,"-0.209061 [-0.894175,Ê 0.307347]","0.811346 [0.408945,Ê 1.35981]","0.033708 [0.0173525,Ê 0.0554674]"
CP034325.1_174,environmental,"-0.210058 [-0.761238,Ê 0.272474]","0.810537 [0.467088,Ê 1.31321]","0.0286825 [0.0169963,Ê 0.0443994]"
AP019386.1_109,Bacteria,"-0.216186 [-2.01662,Ê 0.577699]","0.805586 [0.133105,Ê 1.78193]","0.0185985 [0.00321233, Ê 0.0419908]"
NZ_MZ513634.1_46,wastewater,"-0.222608 [-0.821235,Ê 0.297895]","0.800428 [0.439888,Ê 1.34702]","0.0334936 [0.0189346,Ê 0.0536092]"
CP034325.1_175,wildlife,"-0.239736 [-0.825462,Ê 0.20248]","0.786836 [0.438033,Ê 1.22444]","0.031006 [0.0178242,Ê 0.0471058]"
NZ_OP290545.1_1,livestock,"-0.247524 [-0.662735,Ê 0.143851]","0.780732 [0.51544,Ê 1.15471]","0.0550845 [0.0383483,Ê 0.0761658]"
AM261282.1_29,wastewater,"-0.263551 [-0.945944,Ê 0.286288]","0.768318 [0.388313,Ê 1.33148]","0.0217575 [0.0112193,Ê 0.0366519]"
NZ_CP053772.1_89,wildlife,"-0.270358 [-0.85369,Ê 0.21644]","0.763106 [0.425841,Ê 1.24165]","0.031722 [0.018415,Ê 0.0500828]"
NZ_CP019353.1_215,environmental,"-0.286037 [-0.70701,Ê 0.0773466]","0.751235 [0.493117,Ê 1.08042]","0.0690907 [0.0476071,Ê 0.09455]"
NZ_CP019353.1_215,livestock,"-0.293812 [-0.669993,Ê 0.0597367]","0.745417 [0.511712,Ê 1.06156]","0.0685826 [0.0497478,Ê 0.0914573]"
NZ_CP115377.1_59,food,"-0.298008 [-1.08057,Ê 0.254109]","0.742296 [0.339403,Ê 1.28931]","0.0291554 [0.0136543,Ê 0.0495987]"
CP034325.1_174,wildlife,"-0.3022 [-0.956967,Ê 0.157079]","0.73919 [0.384056,Ê 1.17009]","0.0261239 [0.0141103,Ê 0.0407698]"
NZ_OP290545.1_1,environmental,"-0.303275 [-0.772047,Ê 0.0963717]","0.738396 [0.462066,Ê 1.10117]","0.052288 [0.0341196,Ê 0.0744398]"
NZ_CP146544.1_32,environmental,"-0.307841 [-0.969293,Ê 0.320234]","0.735032 [0.379351,Ê 1.37745]","0.0187056 [0.00994744,Ê 0.0333265]"
AP026508.1_104,plant,"-0.345293 [-4.67677,Ê 1.51378]","0.708013 [0.00930906,Ê 4.54385]","0.0136035 [0.00017776,Ê 0.0817971]"
NZ_KP056256.1_146,plant,"-0.350415 [-5.17812,Ê 1.74233]","0.704396 [0.00563861,Ê 5.71064]","0.00878095 [7.08e-05,Ê 0.0671622]"
NZ_CP019353.1_215,laboratory,"-0.357497 [-3.64731,Ê 1.08974]","0.699425 [0.0260612,Ê 2.97349]","0.0644247 [0.00250694,Ê 0.227447]"
CP034325.1_174,plant,"-0.357928 [-4.35804,Ê 1.30349]","0.699124 [0.0128035,Ê 3.68214]","0.0247201 [0.00047825,Ê 0.118531]"
NZ_CP139811.1_48,livestock,"-0.361775 [-0.822179,Ê 0.0618103]","0.696439 [0.439473,Ê 1.06376]","0.0454477 [0.0300786,Ê 0.0649569]"
OV141395.1_159,laboratory,"-0.364847 [-3.94728,Ê 1.14924]","0.694303 [0.0193071,Ê 3.15579]","0.0336313 [0.0009572,Ê 0.139481]"
NZ_MN732922.1_254,plant,"-0.365915 [-4.94886,Ê 1.53439]","0.693561 [0.00709148,Ê 4.63849]","0.00992325 [0.00010323,Ê 0.0653036]"
CP034325.1_175,plant,"-0.370783 [-4.2544,Ê 1.25479]","0.690194 [0.0142016,Ê 3.5071]","0.0273317 [0.00058451,Ê 0.126131]"
AM261282.1_29,plant,"-0.370954 [-4.40926,Ê 1.31277]","0.690076 [0.0121642,Ê 3.71646]","0.0195613 [0.0003419,Ê 0.0983843]"
AP019386.1_110,food,"-0.372391 [-1.39528,Ê 0.321353]","0.689085 [0.247763,Ê 1.37899]","0.0096931 [0.00353603,Ê 0.0195558]"
NZ_OP290545.1_1,laboratory,"-0.376531 [-3.929, Ê 1.10648]","0.686238 [0.0196633,Ê 3.02369]","0.0486913 [0.00147064,Ê 0.1853]"
NZ_MZ513634.1_46,laboratory,"-0.379596 [-4.23588,Ê 1.19219]","0.684138 [0.0144671,Ê 3.29427]","0.0287418 [0.00061221,Ê 0.126004]"
NZ_CP139811.1_48,laboratory,"-0.38022 [-4.03808,Ê 1.11999]","0.683711 [0.0176313,Ê 3.06482]","0.0445741 [0.00119398,Ê 0.173802]"
NZ_CP115377.1_59,laboratory,"-0.386221 [-4.52815,Ê 1.28452]","0.67962 [0.0108007,Ê 3.61292]","0.0267304 [0.00043942,Ê 0.127169]"
NZ_AP027706.1_49,plant,"-0.38693 [-4.51649,Ê 1.27016]","0.679139 [0.0109273,Ê 3.56141]","0.0239339 [0.00038298,Ê 0.114787]"
OV141395.1_159,plant,"-0.388734 [-4.3479,Ê 1.18825]","0.677915 [0.0129339,Ê 3.28132]","0.0330733 [0.00065225,Ê 0.14298]"
AP018569.2_107,laboratory,"-0.403714 [-4.33852,Ê 1.21381]","0.667835 [0.0130558,Ê 3.36628]","0.0347254 [0.00070378,Ê 0.155614]"
NZ_AP027706.1_49,laboratory,"-0.407296 [-4.39659,Ê 1.1895]","0.665447 [0.0123193,Ê 3.28543]","0.0234045 [0.00043136,Ê 0.107752]"
NZ_CP049291.1_137,plant,"-0.410004 [-4.2618,Ê 1.08967]","0.663647 [0.0140969,Ê 2.97331]","0.0548498 [0.0012546,Ê 0.206563]"
NZ_CP146544.1_32,plant,"-0.413074 [-5.46541,Ê 1.53569]","0.661613 [0.0042306,Ê 4.64454]","0.0167519 [0.00010994,Ê 0.10974]"
AP027468.1_321,plant,"-0.413726 [-5.47797,Ê 1.52824]","0.661182 [0.00417782,Ê 4.61007]","0.00908106 [5.78e-05, 0.0605821]"
NZ_CP115377.1_59,wastewater,"-0.415236 [-1.13036,Ê 0.150812]","0.660185 [0.322917,Ê 1.16278]","0.0260958 [0.0130951,Ê 0.0441549]"
NZ_CP019353.1_215,plant,"-0.417647 [-4.17419,Ê 1.06785]","0.658595 [0.0153877,Ê 2.90912]","0.0611597 [0.00150842,Ê 0.223776]"
NC_010870.1_119,plant,"-0.421524 [-4.14706,Ê 1.04325]","0.656046 [0.0158108,Ê 2.83842]","0.0700631 [0.00181953,Ê 0.24657]"
