"","gene_id_all","niche","effect_median","effect_lower","effect_upper","OR_median","OR_lower","OR_upper","prob_median","prob_lower","prob_upper"
"1","NZ_KP056256.1_146","nichelivestock",1.09540692,0.50755072575,1.675901854455,2.9903992902407,1.66121743173316,5.34361215179154,0.0366259310674256,0.0224385823629696,0.0561525314525716
"2","NZ_AP027706.1_49","nichelivestock",0.713689205,0.30604509275,1.112205583725,2.0415089281478,1.35804354349361,3.04105833639524,0.0686463120844458,0.0479895017954536,0.0950205249570207
"3","AP027468.1_321","nichelivestock",0.6567006655,0.0191007235525,1.26070353775,1.92841932710693,1.01928430977674,3.52790262763777,0.0262334604411539,0.0149318953102766,0.0425942707997832
"4","NZ_MN732922.1_254","nichelivestock",0.631169815,0.00890717075,1.217350645475,1.87980832151163,1.00894695780141,3.37822575195529,0.0268410841404627,0.0155720087315266,0.043332799880437
"5","AP026508.1_104","nichelivestock",0.620850045,0.0650396465,1.139660312325,1.86050888613504,1.06720133678524,3.12570642117592,0.0351081696601509,0.0214865877775187,0.054049042512572
"6","OV141395.1_159","nichelivestock",0.57422484,0.2041451605,0.93446582205,1.77575350059421,1.22647617657699,2.545853155832,0.0822878894377114,0.0592305156593272,0.111474941779789
"7","NZ_KP056256.1_146","nicheenvironmental",0.467515747,-0.168574299575,1.146900164,1.5960243359685,0.844868488179096,3.14841818804994,0.019900845825981,0.0105810137311302,0.0358659311930859
"8","NZ_CP049291.1_137","nichewastewater",0.42097558,0.0423925795,0.803969579,1.52344707554923,1.04330397820967,2.23439294683179,0.118123001671536,0.0832897510028321,0.164563311550911
"9","NZ_AP027706.1_49","nichewastewater",0.403584195,-0.0722063338025,0.913267102425,1.49718128230055,0.930338915646424,2.49245234420374,0.051521977504854,0.0321039394373119,0.080829180262983
"10","NZ_CP049291.1_137","nichelivestock",0.35696068,0.039826664875,0.66279316525,1.42897968126894,1.04063038076487,1.9402040842156,0.111447685299828,0.0833769400995222,0.144913628300432
"11","OV141395.1_159","nichewastewater",0.34882935,-0.08674940525,0.80211840375,1.4174072892608,0.916906838914864,2.23026052013066,0.0669779580185907,0.0435967284562154,0.100448093247086
"12","AP026508.1_104","nichefood",0.3275859,-0.23966475185,1.0675489665,1.38761424290752,0.786891620930896,2.90824255793152,0.0266132838916395,0.0146330221732001,0.0524528776363805
"13","NZ_CP142966.1_27","nichelivestock",0.31959337,-0.24815901825,0.851313559525,1.37656789743824,0.780235862644575,2.34272213668531,0.0307892293327385,0.0185505375562029,0.0486409282448522
"14","NC_010870.1_119","nichewastewater",0.308349185,-0.0447496655,0.655502133,1.36117620827713,0.956236831074613,1.92610943777583,0.135552234636939,0.0974852118856459,0.183695684678327
"15","AP027468.1_321","nichewastewater",0.2960553665,-0.3460592498,1.02834137355,1.34454459794908,0.707470568401258,2.79642376374456,0.0185653237551241,0.00965901728829022,0.0358217885801002
"16","NZ_CP139811.1_48","nicheenvironmental",0.294711906,-0.0880007407525,0.6898254094125,1.34273946867172,0.915760198404561,1.99336748047511,0.0841637734968661,0.0584510242215338,0.119371404736833
"17","NZ_CP115377.1_59","nichewildlife",0.291301874,-0.164624852575,0.81490001115,1.33816848145986,0.84821184988154,2.25894979173691,0.0517330487547644,0.032999604775476,0.0821211139822299
"18","NZ_MZ513634.1_46","nichewildlife",0.285415626,-0.147852527525,0.78258220012,1.33031482719442,0.86255830917965,2.18711254313739,0.0546791599239944,0.0354726319132095,0.0846188590707658
"19","NZ_CP049291.1_137","nichewildlife",0.2747343025,-0.080073267,0.6573955689,1.31618092257726,0.923048714977289,1.92975985729665,0.103746108398957,0.0738158575384284,0.144746815223629
"20","NZ_MZ513634.1_46","nichedomesticatedanimal",0.271305975,-0.332142850875,1.226921119175,1.31167635040762,0.717384836704558,3.41071217802908,0.0545255379860944,0.028912162330909,0.127546652792071
"21","NZ_CP115377.1_59","nicheenvironmental",0.2684631455,-0.1946311022,0.742543403175,1.30795277219738,0.823138256028715,2.10127310862816,0.0505632032759852,0.0325892563846051,0.0775408501573359
"22","NZ_CP115377.1_59","nichedomesticatedanimal",0.23661689,-0.396461938225,1.172776475275,1.26695564141109,0.672695880213289,3.23095085201911,0.049494625541657,0.025792240785064,0.116111083460676
"23","NZ_KP056256.1_146","nichefood",0.22246859,-0.48760629,1.0192578778,1.24915658305757,0.614094600641448,2.77113748041862,0.0157815555514596,0.00737118767982604,0.0334434623173777
"24","NZ_AP027706.1_49","nichefood",0.219588744,-0.2962757126575,0.7801121435,1.24556437941814,0.743582384696674,2.18171691775361,0.0432589341042247,0.0254421869609934,0.0728999038832011
"25","NZ_KP056256.1_146","nichewildlife",0.2120145,-0.420983861375,0.889881725299999,1.23616580942329,0.65640069499582,2.43484165590337,0.0155623279614847,0.00797794442640562,0.0293307210794153
"26","AP018569.2_107","nichedomesticatedanimal",0.211721972,-0.38997750045,1.084031079825,1.23580424914219,0.677072108145654,2.95657375241931,0.0633150841392518,0.0338995995732684,0.136717778117773
"27","NZ_MZ513634.1_46","nicheenvironmental",0.2107742165,-0.231083081425,0.6704968505,1.23463356392598,0.793673523807357,1.95520852697834,0.0508136032225349,0.033112508121078,0.0769804365986722
"28","CP057748.1_80","nichelivestock",0.20247022,-0.118186959125,0.521120506675,1.22442362176374,0.888529918311992,1.68391342978599,0.103501234124563,0.0770839911160052,0.136521260301764
"29","NC_010870.1_119","nichelivestock",0.1982841195,-0.104978678725,0.48934552725,1.21930877403593,0.900343718949528,1.63124826362591,0.123067625583005,0.0930026533677535,0.158705567854037
"30","NZ_AP027706.1_49","nichewildlife",0.1962382329,-0.250211956825,0.6870392222,1.21681675660436,0.778635728839332,1.98782131503996,0.0422499812962028,0.0267743508615357,0.0661273164308864
"31","NZ_CP049291.1_137","nicheenvironmental",0.194420931,-0.16374989645,0.5422617135,1.21460744130493,0.848954322768472,1.71989237046533,0.0963576766741169,0.0682874499827596,0.131427395941436
"32","NZ_AP027706.1_49","nicheenvironmental",0.187429995,-0.282784683305,0.654411666925,1.20614581039628,0.753682050743344,1.92401022587553,0.0417513005903205,0.0263746135388892,0.0636139677598188
"33","NZ_CP053772.1_89","nichedomesticatedanimal",0.183683874875,-0.4773017515,1.06013415125,1.20163589752898,0.620455278568115,2.88675823246842,0.0495522874534119,0.0252064065980808,0.111065674452246
"34","NZ_MN732922.1_254","nichefood",0.1836573245,-0.4415452685,0.925899746724999,1.20160399245937,0.643041981162896,2.5241383309587,0.017526241250395,0.00895230666311857,0.0349340164532125
"35","OV141395.1_159","nichewildlife",0.1815259165,-0.231423759,0.617949874675,1.19904561138863,0.793403183049577,1.85512091049868,0.0571810604451759,0.0378288545131902,0.0857247650164952
