effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
"0.0759647 [-0.364954,  0.50487]","1.07892 [0.694229,  1.65677]","0.092377 [0.0618485,  0.134017]"
"0.0715463 [-0.873206,  1.03885]","1.07417 [0.41761,  2.82597]","0.0152119 [0.00576943,  0.0392894]"
"0.0692773 [-0.782876,  1.13434]","1.07173 [0.45709,  3.10911]","0.0149089 [0.00607392,  0.0414446]"
"0.0422064 [-0.616468,  0.770363]","1.04311 [0.539848,  2.16055]","0.107289 [0.0582939,  0.198017]"
"0.0387754 [-0.412528,  0.469103]","1.03954 [0.661975,  1.59856]","0.0663688 [0.0438546,  0.0966966]"
"0.033937 [-1.79763,  1.85326]","1.03452 [0.165691,  6.38056]","0.0828969 [0.0142501,  0.360997]"
"0.0323322 [-0.662669,  0.700282]","1.03286 [0.515474,  2.01432]","0.0149169 [0.00752266,  0.0278137]"
"0.0306812 [-0.49412,  0.549314]","1.03116 [0.610108,  1.73206]","0.0290132 [0.0177224,  0.0460217]"
"0.0283304 [-0.912795,  1.06424]","1.02874 [0.401401,  2.89865]","0.0149059 [0.00576498,  0.0402015]"
"0.0253266 [-0.443426,  0.493207]","1.02565 [0.641834,  1.63756]","0.0711703 [0.046061,  0.108133]"
"0.0158863 [-0.79987,  0.826572]","1.01601 [0.449387,  2.28547]","0.0354903 [0.0158132,  0.0750348]"
"0.0143456 [-1.79615,  1.74534]","1.01445 [0.165936,  5.72785]","0.104606 [0.0186309,  0.398786]"
"0.0139592 [-1.95004,  1.98712]","1.01406 [0.142269,  7.29449]","0.0647975 [0.00958734,  0.332529]"
"0.013436 [-1.96037,  1.91546]","1.01353 [0.140807,  6.79008]","0.0702463 [0.0104506,  0.337906]"
"0.00892397 [-1.87857,  1.83174]","1.00896 [0.152808,  6.24476]","0.0866398 [0.0142148,  0.372587]"
"0.00771353 [-0.548575,  0.547225]","1.00774 [0.577772,  1.72845]","0.0354587 [0.0206031,  0.0587661]"
"0.00737929 [-0.908038,  0.938552]","1.00741 [0.403315,  2.55628]","0.0193263 [0.00766922,  0.0475674]"
"0.00574851 [-0.601962,  0.571365]","1.00577 [0.547736,  1.77068]","0.0193119 [0.0105853,  0.0321243]"
"0.00406712 [-0.591858,  0.570509]","1.00408 [0.553298,  1.76917]","0.0283079 [0.0159003,  0.0481875]"
"0.00093094 [-2.10645,  2.14724]","1.00093 [0.121669,  8.56122]","0.0412007 [0.00508736,  0.269636]"
"-0.00026534 [-0.444097,  0.395923]","0.999735 [0.641403,  1.48575]","0.0638594 [0.0424679,  0.0903128]"
"-0.00104391 [-1.81816,  1.78377]","0.998957 [0.162324,  5.95227]","0.0859073 [0.0150922,  0.357182]"
"-0.00854612 [-0.687108,  0.599433]","0.99149 [0.503029,  1.82109]","0.0190496 [0.00978467,  0.0334278]"
"-0.00925393 [-0.771803,  0.599433]","0.990789 [0.462179,  1.96735]","0.0800782 [0.0390873,  0.147152]"
"-0.0125196 [-0.591677,  0.515139]","0.987558 [0.553399,  1.67387]","0.0277974 [0.0166924,  0.0433952]"
"-0.0167516 [-0.870734,  0.682982]","0.983388 [0.418644,  1.97977]","0.0123215 [0.00522655,  0.0237899]"
"-0.0185817 [-0.84876,  0.70088]","0.98159 [0.427945,  2.01553]","0.0470903 [0.0209899,  0.0911465]"
"-0.0261239 [-1.11542,  0.938381]","0.974214 [0.327777,  2.55584]","0.0121821 [0.00396203,  0.0317476]"
"-0.0272456 [-0.792212,  0.6079]","0.973122 [0.452842,  1.83657]","0.0621888 [0.0300999,  0.112016]"
"-0.0326011 [-0.949233,  0.748968]","0.967925 [0.387038,  2.11482]","0.0271739 [0.011057,  0.0574704]"
"-0.0337136 [-0.441682,  0.324449]","0.966848 [0.642954,  1.38327]","0.0833247 [0.0580645,  0.113205]"
"-0.0386344 [-0.73179,  0.586403]","0.962102 [0.481047,  1.79751]","0.0139386 [0.00706518,  0.0247422]"
"-0.0417172 [-0.765596,  0.58243]","0.959141 [0.465057,  1.79038]","0.0666638 [0.0332824,  0.118772]"
"-0.0486258 [-0.58198,  0.441671]","0.952537 [0.558791,  1.5553]","0.03359 [0.021034,  0.0506883]"
"-0.0509652 [-0.984946, 0.725645]","0.950312 [0.373459,  2.06606]","0.0486838 [0.0198371,  0.0998158]"
"-0.0533656 [-0.728822,  0.543503]","0.948033 [0.482477,  1.72203]","0.0137551 [0.00689744,  0.0242331]"
